TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2020,24.2,32.6,28,73,0.1,0.5,8,240,4,SW
02-12-2020,24.2,34,28.8,72,0,9.8,7,320,4,SW
03-12-2020,23.4,30.4,26.1,83,13.2,6.5,3,280,2,SW
04-12-2020,22.8,33,26.7,84,5.7,3,6,210,3,SW
05-12-2020,24.2,30.8,27.4,76,18.2,4.1,8,300,3,W 
06-12-2020,22.8,28.6,26,87,22.8,3.4,7,320,3,SW
07-12-2020,23.4,30,25.5,89,18.5,0,7,290,3,W 
08-12-2020,23.2,32.2,27.8,80,18.8,2,7,280,4,W 
09-12-2020,24.6,33.4,28.6,71,10.5,7.2,8,300,4,W 
10-12-2020,24.6,31.2,27.3,80,0.8,6.2,5,340,2,SW
11-12-2020,23.6,31.3,27.6,80,1.7,3,4,290,3,SW
12-12-2020,24.4,31.8,27.4,77,3.1,3.4,5,240,3,SW
13-12-2020,23.8,29.8,27.1,80,0,2.2,5,250,3,SW
14-12-2020,24.8,31.7,27.5,76,-,-,6,250,4,SW
15-12-2020,25.2,32.3,26.8,80,0,0.4,6,240,4,SW
16-12-2020,23.5,32.8,27.5,76,0.5,1.1,6,230,4,SW
17-12-2020,23,31.5,26.7,82,2.2,5,8,260,4,W 
18-12-2020,24.4,31,26.9,80,0,1.8,7,280,4,W 
19-12-2020,24,31.2,27.8,75,5.2,1.7,6,290,3,W 
20-12-2020,24.2,30,25.9,86,1,1.2,7,260,4,W 
21-12-2020,23.1,29,26.6,80,6.5,2,6,250,3,SW
22-12-2020,23.8,31.4,27.8,77,-,0,5,260,3,SW
23-12-2020,22,34.4,27.6,76,0,1.6,8,260,4,W 
24-12-2020,23.8,32.2,27.3,76,0,3.6,7,280,4,SW
25-12-2020,23.7,33.4,28.7,65,8888,2.5,8,240,4,W 
26-12-2020,24.4,33,27.6,75,1.2,4.4,7,260,4,SW
27-12-2020,24,33,28.8,68,0.2,4.9,7,330,4,W 
28-12-2020,25,32.6,28.1,74,0,6.1,6,270,4,SW
29-12-2020,24.3,31.4,27.1,75,0.2,3.2,7,290,4,SW
30-12-2020,25.1,31.4,27.1,77,8888,0.9,6,250,4,W 
31-12-2020,23.6,29,26.1,86,15.5,0.5,5,340,3,W 
,,,,,,,,,,
,,,,,,,,,,
