TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2020,24.4,28.6,26.7,88,147.9,0.5,4,300,2,NW
02-01-2020,24.2,31.2,27.6,81,40.2,0,5,290,3,NW
03-01-2020,24.9,31,27.6,84,0.3,4.8,5,290,2,W 
04-01-2020,25.8,31.1,28.2,80,9.2,3,5,300,3,NW
05-01-2020,25.7,29.5,27,88,4.5,1,4,310,2,W 
06-01-2020,24.8,30.4,26.6,89,14.6,0,6,320,2,SW
07-01-2020,24.7,30.4,27,88,12.6,2,5,270,2,W 
08-01-2020,25,30.2,27.3,83,0.2,2.7,6,320,2,W 
09-01-2020,25.6,29.6,28,82,7.1,0,6,240,4,W 
10-01-2020,23.6,27.8,25.5,89,42.7,0,4,290,2,W 
11-01-2020,23.9,31.6,26.8,84,10.8,0,8,240,3,SW
12-01-2020,24.4,32.3,28.3,78,3.5,5.4,6,310,3,W 
13-01-2020,25.5,30.2,27.1,87,1,8.8,4,320,2,NW
14-01-2020,24.7,31.8,28.3,79,6.3,1.9,5,320,3,N 
15-01-2020,24.6,31,27.2,84,33.5,9,4,310,2,S 
16-01-2020,-,31.4,27.6,83,-,6,6,10,2,S 
17-01-2020,24.9,31.7,28,83,0,4.9,5,320,3,N 
18-01-2020,25,31.1,27.2,80,7.3,7.2,3,30,2,N 
19-01-2020,23.6,31.8,27.7,84,0,2.3,4,350,2,N 
20-01-2020,25.4,31.2,28.6,80,0,9.8,5,350,2,N 
21-01-2020,25,30.6,27.5,84,3.6,5.1,4,310,2,N 
22-01-2020,25,31.2,27.7,83,5,6.8,4,310,2,N 
23-01-2020,25,31.7,28,83,40,4.8,5,300,2,NW
24-01-2020,25.2,30.2,26.2,93,5.5,6.3,4,250,2,W 
25-01-2020,25.2,29.4,26.7,88,105.3,1.7,5,330,2,NW
26-01-2020,24.3,-,27.7,84,1.7,1,5,360,2,N 
27-01-2020,24.9,31.3,27.9,83,4.9,8.2,5,10,2,SW
28-01-2020,25,32,28.3,82,-,5.5,3,290,2,N 
29-01-2020,25.4,32.6,28.6,79,-,8,6,300,2,N 
30-01-2020,23.6,31,26.6,84,13.9,8.7,4,300,2,N 
31-01-2020,24,29.6,27.7,84,0,2.9,8,270,3,NE
,,,,,,,,,,
,,,,,,,,,,
