TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2020,23.6,30.6,27.6,89,27.8,8,5,330,2,S 
02-03-2020,24.8,32,28.2,80,8.9,0.8,5,10,2,N 
03-03-2020,22.2,32,28.1,79,0,9.1,5,350,2,N 
04-03-2020,25.5,31,27.4,85,0,8.9,9,260,3,W 
05-03-2020,25,31,27.8,77,1.4,2.1,6,280,2,W 
06-03-2020,-,32.2,28.2,80,1.9,1.5,4,300,3,W 
07-03-2020,24.8,32,28.3,74,-,10,5,290,2,W 
08-03-2020,24.4,32.8,27.4,80,0,4,5,300,3,W 
09-03-2020,23.8,34.5,28.8,74,-,4.3,6,240,4,W 
10-03-2020,25.9,34.1,29.7,74,-,4.2,6,310,3,SW
11-03-2020,25.5,34.2,28.4,82,2,11.3,5,10,2,S 
12-03-2020,24.2,31.2,26.7,88,12.2,5.3,3,300,2,S 
13-03-2020,-,31.5,27.3,79,2.9,1.7,4,350,2,NW
14-03-2020,24.9,33.2,28.7,82,0,7.7,5,360,2,S 
15-03-2020,24.5,32.5,28.6,80,0.6,8.6,5,30,2,S 
16-03-2020,-,32,27.3,86,8888,9.1,5,40,2,S 
17-03-2020,24.5,33,28.1,79,5.4,5.4,4,10,2,N 
18-03-2020,24.6,28,26.4,92,20.3,9.4,3,330,1,NW
19-03-2020,24.7,31.8,27.2,87,17.9,0,5,330,2,W 
20-03-2020,24,31.5,25.4,93,33.9,2.7,4,310,2,S 
21-03-2020,23.1,32.2,27.4,83,15,2.1,5,50,2,NE
22-03-2020,22.6,29.6,26.1,87,16.7,7,2,170,1,SW
23-03-2020,24.2,31.6,27.1,85,3.4,1.5,4,340,2,SW
24-03-2020,22.5,33.8,27.8,83,3,1.7,5,320,2,S 
25-03-2020,24.8,31.5,28,78,8888,9,6,40,2,N 
26-03-2020,25.6,31,27.7,83,2,6.2,4,60,2,NE
27-03-2020,-,31.2,27.9,82,8888,3,4,320,2,S 
28-03-2020,-,32,28.2,82,0,2.5,5,360,2,N 
29-03-2020,-,33.2,27.9,83,0,3.1,4,340,2,S 
30-03-2020,25.2,32.5,26.9,87,0,7.2,5,100,2,S 
31-03-2020,24.6,34.4,28.4,80,6.4,3.1,6,330,2,W 
,,,,,,,,,,
,,,,,,,,,,
