TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-07-2021,24,30.4,26,90,1.3,3.3,4,60,2,E 
02-07-2021,22.6,31.4,27.7,77,18.6,1.3,8,70,4,NE
03-07-2021,-,32.1,27.1,80,0,10.3,5,60,2,NE
04-07-2021,23,32.4,27.6,77,0,8.4,5,50,2,S 
05-07-2021,23.9,32,27.3,77,0,9.7,4,340,2,N 
06-07-2021,23.4,32.2,27,80,0.3,5.2,4,350,2,N 
07-07-2021,23,32,27,75,0,6,5,40,2,NE
08-07-2021,22.4,32.2,26.5,76,0,5.9,5,50,2,S 
09-07-2021,22.3,32.6,27.8,75,0,6,5,50,3,E 
10-07-2021,-,32.6,28.8,76,0.4,8.4,5,80,3,E 
10-07-2021,-,32.6,28.8,76,0.4,8.4,5,80,3,E 
11-07-2021,25.4,31.8,28,81,0,7,7,70,3,NE
12-07-2021,23.6,32.8,27.9,78,1.5,6.3,6,70,3,E 
13-07-2021,22.2,30.9,26.7,81,0,9.4,5,320,3,W 
14-07-2021,24,31.6,26.8,79,0,0.9,4,350,1,W 
15-07-2021,22.4,31.8,26.2,81,8888,0.7,5,350,2,N 
16-07-2021,22.7,32.5,26.9,75,0,6.1,6,50,3,NE
17-07-2021,23,32.4,27.1,77,0,9.8,6,60,3,NE
18-07-2021,22.6,32.5,27.3,76,0,8.8,4,70,2,SW
19-07-2021,24.2,32.2,27.4,80,0,8.8,4,10,2,NE
20-07-2021,23.8,32.6,27.3,80,0,2.4,5,60,2,S 
21-07-2021,24,32,27.8,81,5,7.4,4,40,2,SE
22-07-2021,24.5,32.1,27.5,83,0.4,6.4,4,60,2,NE
23-07-2021,20.5,31.1,27.4,82,12.5,2,3,330,2,S 
24-07-2021,23.4,31.8,26.7,82,1.3,1.7,4,60,2,SW
25-07-2021,22.2,33,26.9,78,0.4,2.7,6,40,2,S 
26-07-2021,22.2,32.2,26.5,77,0,10.2,7,70,3,NE
27-07-2021,21.4,32.4,26.5,73,0,10.2,6,50,3,NE
28-07-2021,19.5,32.8,26.5,68,-,10.4,5,50,2,S 
29-07-2021,22,33,27.2,72,0,9.9,3,310,2,SW
30-07-2021,23.6,33.2,27.9,76,0,8,4,10,2,N 
31-07-2021,24.6,33.5,28.2,72,0,7.5,3,350,2,NW
,,,,,,,,,,
