TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-08-2022,-,32.2,27.4,80,0,9.6,5,50,2,E 
02-08-2022,24,32.4,27.7,78,0,9.6,4,40,2,NE
03-08-2022,23.8,30.8,27.2,86,0.6,1.9,6,40,3,NE
04-08-2022,23.5,31.1,27.2,84,29,1,5,40,2,N 
05-08-2022,23.6,30.6,27.1,83,4.6,7.8,7,340,2,N 
06-08-2022,22.8,32.1,27.1,80,0,5.7,3,10,2,S 
07-08-2022,22.4,31.8,27.2,78,11,9.5,4,220,2,SW
08-08-2022,23.5,32.8,27.5,76,8888,9,4,10,2,N 
09-08-2022,24.5,32.2,28,75,2,9.6,5,350,2,NE
10-08-2022,23.2,32,27.5,78,0,8.1,6,30,3,NE
11-08-2022,23,32.8,27.6,82,0,9.6,6,40,2,S 
12-08-2022,24,32,28,81,0,7.5,5,30,2,SW
13-08-2022,23.6,32.8,27.8,77,0,9.9,5,50,3,NE
14-08-2022,23.4,32.4,27.6,78,0,8.3,6,70,3,S 
15-08-2022,23.6,32.4,27.3,78,0,10,4,80,2,S 
16-08-2022,24.4,32.3,27.3,79,6,5,4,240,2,SW
17-08-2022,23.4,31.6,27.7,80,2.2,3.5,3,60,2,S 
18-08-2022,24.6,32.1,27.8,70,0,5.2,5,70,2,E 
19-08-2022,20.7,32.6,28,73,0,8.9,7,30,3,E 
20-08-2022,24,32.4,28.4,74,0,10.4,8,60,3,E 
21-08-2022,24.2,32.2,28,75,0,8.6,4,210,2,SW
22-08-2022,24,34,26.5,84,0,7.6,3,20,1,NE
23-08-2022,23,32.5,27.7,80,0,1.7,6,40,2,NE
24-08-2022,-,32.2,27.8,78,0,7.6,6,50,2,NE
25-08-2022,24.8,32.2,28,71,0,7.8,7,70,3,E 
26-08-2022,22.3,32.4,27.5,75,-,9.4,4,330,2,S 
27-08-2022,23.8,31.8,27.4,83,0,0.3,4,340,2,SW
28-08-2022,-,30.4,26.6,86,8888,0.8,5,340,2,NW
29-08-2022,-,31.6,27.3,81,11.2,1.2,3,360,2,S 
30-08-2022,24.4,32.9,28,76,0,4.2,4,20,2,SW
31-08-2022,24,32.4,27.8,78,1.5,9.4,11,200,3,NE
,,,,,,,,,,
,,,,,,,,,,
