TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-04-2022,25.4,31.8,27.8,84,0,5.4,5,250,2,SW
02-04-2022,24.8,33.2,27.3,85,0,0.1,5,270,3,W 
03-04-2022,24.4,32.5,25.7,87,1.5,5.4,6,240,3,SW
04-04-2022,23.8,34,28.5,78,9.6,4.4,8,240,3,SW
05-04-2022,22.2,34.1,27.1,82,0,8.5,6,340,2,S 
06-04-2022,23.4,34.3,28.6,71,30.4,5.8,7,220,3,SW
07-04-2022,24.2,-,28.7,75,-,9.8,8,240,4,SW
08-04-2022,24,33.2,28.1,75,0.8,7.6,9,250,3,W 
09-04-2022,23.8,33.7,28.1,76,8888,3.7,4,20,2,SW
10-04-2022,21.6,32.5,27.9,80,3.2,8.4,6,240,3,SW
11-04-2022,24.8,32.9,27.6,80,0,6.3,5,250,2,S 
12-04-2022,24,33.1,27.9,81,0.2,5.1,5,20,2,S 
13-04-2022,25.2,32.4,28.2,79,0,4.7,5,10,3,N 
14-04-2022,24.8,32.8,28.2,76,0,5.1,4,40,2,S 
15-04-2022,24,32.9,28.4,79,0,10.5,5,20,2,S 
16-04-2022,23.8,33.2,28.3,77,0,8.8,4,60,2,S 
17-04-2022,24.1,32.4,28.1,83,10.6,9.5,5,80,3,E 
18-04-2022,25.2,32.8,28.9,75,-,9.2,5,20,2,NE
19-04-2022,24.4,33,27.8,79,0,8.3,3,320,2,SW
20-04-2022,24,33,28.1,78,8.4,5.5,6,250,3,SW
21-04-2022,24.8,29.5,26.6,87,8888,3.8,4,230,2,S 
22-04-2022,23.2,30.4,25.5,92,11.8,2,5,310,2,SE
23-04-2022,-,32.9,27.7,82,18.7,0.7,4,50,2,SW
24-04-2022,23.7,33.1,27.4,76,12.1,7.6,3,280,2,SW
25-04-2022,23.6,34.8,27.7,80,0.2,7,7,210,2,S 
26-04-2022,23.8,33.8,28.4,80,37.7,8.3,5,230,2,W 
27-04-2022,24.4,32.4,27.7,84,0,8,8,290,2,SW
28-04-2022,-,31.5,27.1,82,15,3.7,5,240,3,W 
29-04-2022,24.5,34,28.1,77,0,1.6,5,270,2,SW
30-04-2022,-,31.6,27,84,0,4.6,4,210,2,SW
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
