TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-02-2022,24.4,31.6,27.7,82,-,5.7,4,360,2,N 
02-02-2022,23.5,30.9,27.3,84,0.3,5.5,5,320,2,N 
03-02-2022,24,-,27.5,82,8.4,5.2,5,330,2,NW
04-02-2022,23.4,31,26.6,86,45.6,6.8,4,330,2,SW
05-02-2022,24,28.4,25.8,91,3.8,6.5,5,300,2,SW
06-02-2022,23.7,31.4,27.5,81,36.8,0.3,5,260,2,N 
07-02-2022,24.6,30.5,27.3,82,10.2,3.9,5,320,2,NW
08-02-2022,24.8,28.6,26.5,91,8888,5.3,4,310,2,S 
09-02-2022,23.8,31.2,26.1,86,22.7,0,8,230,3,SW
10-02-2022,23.6,30.4,26.7,78,19.6,6.1,7,270,2,W 
11-02-2022,22.8,31.8,27.5,76,0,0,5,310,2,SW
12-02-2022,23.8,30,26.9,86,0,3.9,4,330,2,NW
13-02-2022,24.2,29.8,26.2,84,0,0.1,4,320,2,NW
14-02-2022,23.4,30.8,26.9,86,0.5,0,5,190,2,S 
15-02-2022,23.8,32.4,26.3,85,5,0,4,10,2,S 
16-02-2022,22,32.6,27.4,80,6,1.8,5,40,2,S 
17-02-2022,23.6,31.2,26.7,85,5.2,8.2,4,20,2,SW
18-02-2022,24.5,30,26.4,90,1.7,4.5,3,60,2,W 
19-02-2022,23.8,30.4,27,86,1.3,0,4,70,2,S 
20-02-2022,24.2,30.7,26.5,89,0,1.1,5,60,2,NE
21-02-2022,23.2,32.6,27.1,78,9.2,0.5,5,320,2,NW
22-02-2022,-,33.2,28.2,73,1.8,4.9,5,270,3,W 
23-02-2022,23.4,32,27.4,76,0.5,7.8,5,320,3,SW
24-02-2022,23.3,32,27.1,73,4.4,6.5,5,230,3,W 
25-02-2022,23.3,28.8,25.9,81,8888,2.3,5,230,3,SW
26-02-2022,23.6,30.8,26,84,4,0,7,260,3,SW
27-02-2022,23.8,30.8,26.1,86,0,3,6,280,4,W 
28-02-2022,23.5,31.3,27.5,80,21.5,4.2,7,270,3,W 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
