TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2022,24.7,31.7,27.4,87,8888,2.8,3,50,2,SW
02-05-2022,24,32.4,26.2,88,0.3,2.7,5,340,2,SW
03-05-2022,-,32.8,27.1,86,49.7,3.2,4,50,2,SW
04-05-2022,24.8,33,28.2,81,0,4.6,4,70,2,S 
05-05-2022,24.4,32,27.9,81,0,4.2,5,60,2,SW
06-05-2022,24.2,32.4,28.6,83,0,7.9,5,90,2,NE
07-05-2022,25.2,32.8,28.6,78,8888,10.3,3,340,2,SW
08-05-2022,25,34.8,29.4,72,0,7.3,4,280,2,W 
09-05-2022,25.5,31.8,28.4,82,-,9.4,5,70,2,E 
10-05-2022,24.6,33.3,28.7,81,8888,2.6,8,220,2,NE
11-05-2022,22.4,32,27,88,65.4,7.7,5,340,2,N 
12-05-2022,24.2,32.8,28.1,82,0,5,5,250,3,SW
13-05-2022,25.4,33.4,28.9,76,2.7,6,4,260,2,W 
14-05-2022,25,33.8,28.1,80,0,8.4,4,40,2,NE
15-05-2022,25.2,33.2,27.5,86,0,4,5,220,2,SW
16-05-2022,22.2,33.6,27.2,85,2.8,6,4,40,2,SW
17-05-2022,24,32.5,28.3,82,0.2,8.2,3,360,2,S 
18-05-2022,24.8,32.2,27.3,85,0.8,0.6,4,80,2,S 
19-05-2022,22.1,31.8,26.7,88,0.2,6.8,6,210,2,NE
20-05-2022,-,31.6,26.3,88,31.5,2.1,5,140,2,SW
21-05-2022,24,31.8,26.7,88,7.8,3.4,4,60,2,SW
22-05-2022,23.8,30.2,26.9,84,0,3.8,6,60,2,E 
23-05-2022,23.5,31.8,27.9,83,0,0,8,70,4,E 
24-05-2022,24.8,32.6,28.9,75,0,7.6,5,110,3,E 
25-05-2022,25.5,31.3,26.8,90,2.8,9.3,5,80,2,W 
26-05-2022,24.2,30.6,26.3,86,0.5,1.1,3,80,2,E 
27-05-2022,23.4,32.9,27.5,83,0.1,0.7,8,320,2,N 
28-05-2022,21.6,29.4,24.5,91,70,5.7,6,210,2,E 
29-05-2022,22,32.8,26.6,80,23.6,0.5,5,290,2,W 
30-05-2022,22.6,30.8,25.8,88,0,7.6,9,310,2,SW
31-05-2022,22.9,32.2,26.3,84,4.1,2.1,6,230,2,SW
,,,,,,,,,,
,,,,,,,,,,
