TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2023,24.3,33.2,28.4,71,0,8.9,4,30,2,E 
02-06-2023,24.2,33.4,28.4,78,0,7.9,5,50,2,E 
03-06-2023,24.6,32.4,29,75,0,8.3,4,50,2,NE
04-06-2023,25,33,28.3,78,0,3.2,3,70,2,S 
05-06-2023,24.7,33.2,28.5,75,0,5.3,4,30,2,S 
06-06-2023,25,33.3,27.6,80,0,6.8,4,140,2,S 
07-06-2023,24,32.7,28.4,76,16,2,5,90,2,SW
08-06-2023,24.3,32.8,28.1,78,-,3.3,6,50,2,E 
09-06-2023,23,32.6,27.3,82,0,5,6,40,2,E 
10-06-2023,24.1,32.8,28.3,76,0,5.4,4,20,2,SW
11-06-2023,23.3,33.2,27.2,79,0,7,3,40,2,NE
12-06-2023,23.2,32.9,28.4,76,0,10,5,50,2,E 
13-06-2023,24.6,33.2,28.2,82,0,5.9,4,60,2,NE
14-06-2023,24.6,32.9,27.7,80,0,6,5,40,2,S 
15-06-2023,24,33,28.3,77,0.4,6.6,5,50,3,NE
16-06-2023,24,27,25,93,8.7,6.6,4,120,2,E 
17-06-2023,23.8,31.2,27,82,10,0,3,60,1,S 
18-06-2023,24.2,32.3,27.4,84,0,1.8,4,70,2,E 
19-06-2023,25.2,31.8,26.3,86,0,5.5,5,210,2,S 
20-06-2023,23.4,32.2,27.5,83,9.6,3.5,4,50,2,E 
21-06-2023,24.4,33.1,28.6,81,0,8.8,5,20,2,NE
22-06-2023,24.8,32.7,27.8,82,1.1,6.9,5,50,2,NE
23-06-2023,24.8,32.4,28.3,78,-,8.7,4,60,2,NE
24-06-2023,24.9,32.7,28.1,82,8888,5.4,4,360,2,N 
25-06-2023,24.2,31.5,27.7,84,8888,7.6,5,170,2,SW
26-06-2023,22.6,32,27.2,81,11.4,4.7,3,350,2,SW
27-06-2023,23.8,32.6,27.4,79,0,8.8,4,200,2,S 
28-06-2023,23.4,33.1,27.9,74,5.3,7.7,5,60,2,S 
29-06-2023,23.5,33,28.1,78,8888,7.7,4,160,2,S 
30-06-2023,25,33.2,28.3,76,0,8.3,4,330,2,N 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
