TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-11-2023,25,34.6,28.6,71,0,8.1,4,50,2,SW
02-11-2023,24.4,34.5,29.3,70,0,6,4,260,2,SW
03-11-2023,25,34.4,28.9,72,0,8.2,5,10,2,S 
04-11-2023,24.2,34.5,28,77,8888,5.4,5,260,2,S 
05-11-2023,23.9,32.1,27.3,81,6,3.4,6,40,2,S 
06-11-2023,23.6,33.9,28.9,75,0,1.7,4,70,2,SW
07-11-2023,24.9,34.8,29.6,71,0,7.2,5,80,2,SW
08-11-2023,25.4,33.9,29.4,72,0,7.2,4,150,2,SW
09-11-2023,24.4,34.5,29.1,71,0,7.9,4,350,2,SW
10-11-2023,25.2,34.4,28.9,75,0,4.7,4,30,2,SE
11-11-2023,24.8,34,28.5,76,3.4,4,5,30,2,SW
12-11-2023,-,34.8,28.3,75,0,3.9,5,20,2,S 
13-11-2023,24.8,34.2,29.7,71,11.5,6.4,7,40,2,S 
14-11-2023,24.2,33.8,28.8,76,-,8.2,6,50,2,SW
15-11-2023,24.5,34.2,28.5,75,3.6,6,4,300,2,S 
16-11-2023,24.8,35.3,29.5,69,0,4.7,4,90,2,S 
17-11-2023,24,34.8,29.6,73,8888,9.9,4,200,2,S 
18-11-2023,25.7,34,28.6,74,0,6.7,5,350,2,S 
19-11-2023,24.1,34.7,29.4,74,-,4.8,5,10,2,S 
20-11-2023,25,34.5,29.2,72,10.8,8.2,5,50,2,SW
21-11-2023,25.6,34.2,29.1,74,0,5.8,4,120,2,S 
22-11-2023,-,34.2,29.6,72,26.4,5,4,300,2,SW
23-11-2023,25.2,31.7,28,79,0,3.8,5,50,2,SW
24-11-2023,24.5,33,28,82,-,2.8,6,120,2,SW
25-11-2023,24.7,28.4,25,95,3.4,2.2,4,40,2,SW
26-11-2023,22.2,33.2,28.5,75,48,0.3,4,40,2,SW
27-11-2023,24.5,31.6,27.1,82,0,6.6,4,50,2,SW
28-11-2023,23.8,33.4,28.3,78,0,1.7,4,70,2,W 
29-11-2023,25.2,33.2,28.1,80,27,5.3,6,40,2,S 
30-11-2023,24.4,32.1,27.1,84,39.9,7.7,3,320,2,S 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
