TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-10-2024,24,34.1,29.3,72,-,8,5,10,2,SW
02-10-2024,23.8,34.2,29.3,74,-,8,5,20,2,S
03-10-2024,24.2,32.4,28.9,75,-,8,7,70,3,NE
04-10-2024,23.8,34.2,28.9,76,1,2.1,5,50,2,S
05-10-2024,24,33.2,28.8,74,-,6.9,5,40,2,S
06-10-2024,24.4,33.4,28.6,74,-,8,4,30,2,SW
07-10-2024,24.5,34,29.8,64,-,7,6,60,2,E
08-10-2024,23.8,34.6,29.5,68,-,8,5,60,2,NE
09-10-2024,24.5,33.2,29.5,71,8888,7.1,3,100,2,S
10-10-2024,24,34.1,30,69,-,8,4,30,2,S
11-10-2024,25.2,33.1,29.7,71,-,8,5,70,3,E
12-10-2024,26,32.4,29.2,73,-,8,4,50,2,NE
13-10-2024,25.5,30.8,28.3,79,-,3.6,11,40,3,SW
14-10-2024,24.4,32.4,28.5,77,8888,2.1,3,190,2,SW
15-10-2024,24.6,34.2,28.6,73,-,1.1,5,220,2,SW
16-10-2024,24.8,34.6,29.2,73,-,5.9,4,310,2,S
17-10-2024,23,34.9,28.9,56,-,8,5,320,2,S
18-10-2024,23.6,33.7,28.8,63,-,6,5,310,2,S
19-10-2024,23,34.8,29,70,-,8,3,60,2,SW
20-10-2024,23.3,36,29.7,61,-,6.8,6,260,3,SW
21-10-2024,23.9,34.8,28.4,64,-,8,4,260,2,S
22-10-2024,24.2,35,29.6,67,-,8,4,320,2,S
23-10-2024,26,33.9,29.6,70,-,8,5,320,2,NW
24-10-2024,25.2,33.4,29.6,72,8888,7.8,4,280,2,SW
25-10-2024,24.3,34.5,28.1,81,8888,4,5,350,2,SW
26-10-2024,23.2,34.8,29.7,67,1,6.4,6,360,3,SW
27-10-2024,24.5,34.6,29.7,71,-,8,4,220,2,SW
28-10-2024,25.4,35.4,28.9,73,-,8,3,240,2,SW
29-10-2024,24,34.8,30.1,71,-,5.1,5,70,2,SW
30-10-2024,26,34.8,30.3,67,-,8,4,60,2,SW
31-10-2024,25.4,35.8,30,71,-,8,5,30,2,S
,,,,,,,,,,
,,,,,,,,,,
