TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-09-2024,24,33.2,28.2,76,-,8,4,40,2,NE
02-09-2024,25.2,33.3,29.3,76,8888,8,5,350,2,S
03-09-2024,23,33,28.2,75,3,6.8,4,350,2,S
04-09-2024,21.1,33.4,28,69,-,6.9,6,30,3,NE
05-09-2024,24.2,32.9,28.7,73,-,7.9,4,80,2,S
06-09-2024,24.3,33,28.8,74,-,8,8,50,3,NE
07-09-2024,24.2,33.5,29.5,67,-,8,7,50,3,NE
08-09-2024,25,33.7,28.9,67,-,8,7,60,3,NE
09-09-2024,23.4,32.5,28.3,75,-,8,5,30,2,S
10-09-2024,24,31.4,27.2,79,-,7.2,3,50,2,S
11-09-2024,24.8,33.2,28.9,66,8888,2.2,5,120,3,NE
12-09-2024,22.3,32.8,27.3,81,-,4.6,3,170,2,S
13-09-2024,23,32.4,27.3,79,18,3.1,4,290,2,NW
14-09-2024,22.9,33.4,28.3,64,-,7.1,4,330,2,N
15-09-2024,23.2,32.8,28.1,72,-,8,4,10,2,SW
16-09-2024,23.2,33.2,28.3,69,-,8,4,300,2,S
17-09-2024,23.2,32,28.1,66,-,8,4,240,2,SW
18-09-2024,22.6,32.6,27.5,68,-,8,4,110,2,S
19-09-2024,24.3,33,27.9,67,-,8,4,350,2,SW
20-09-2024,22.8,32.8,28.4,68,-,8,3,50,2,N
21-09-2024,24.2,33.9,28.4,72,-,6.8,5,10,2,NE
22-09-2024,24.2,33,29.1,75,-,8,4,50,2,E
23-09-2024,25,32.4,28.5,84,15,7.2,4,50,2,NE
24-09-2024,24.4,33.2,27.3,80,-,7.9,4,50,2,SW
25-09-2024,23.8,32.9,27.4,82,3,4.2,4,340,2,S
26-09-2024,23,32,26.9,84,16,4.4,4,110,2,E
27-09-2024,23.4,31.5,27.8,82,51,7.7,7,40,2,SW
28-09-2024,24,33.1,29.1,78,-,8,5,40,2,NE
29-09-2024,23.4,33.8,29,76,-,4.8,5,60,2,S
30-09-2024,25.2,33,28.9,73,1,8,6,50,2,NE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
